dataset,instance,num_nodes,team_size,runs,reference_best_score,best_score,mean_score,std_score,mean_cpu_time_seconds,median_cpu_time_seconds,mean_lp_solves,mean_labels_generated,success_rate_percent,mean_gap_to_reference_best_percent,max_gap_to_reference_best_percent
chao,p5.4.s.txt,66,4,1,650.0,650.0,650.0,0.0,3.9077625999998418,3.9077625999998418,8.0,466288.0,100.0,0.0,0.0
chao,p5.4.t.txt,66,4,1,700.0,700.0,700.0,0.0,2.8580289999990782,2.8580289999990782,8.0,484455.0,100.0,0.0,0.0
chao,p5.4.u.txt,66,4,1,710.0,710.0,710.0,0.0,2.935976800003118,2.935976800003118,8.0,528189.0,100.0,0.0,0.0
chao,p5.4.v.txt,66,4,1,780.0,780.0,780.0,0.0,3.017646699998295,3.017646699998295,8.0,583019.0,100.0,0.0,0.0
chao,p5.4.w.txt,66,4,1,1040.0,1040.0,1040.0,0.0,3.1893219000012323,3.1893219000012323,8.0,674282.0,100.0,0.0,0.0
chao,p5.4.x.txt,66,4,1,840.0,840.0,840.0,0.0,3.082198600000993,3.082198600000993,8.0,674394.0,100.0,0.0,0.0
chao,p5.4.y.txt,66,4,1,1500.0,1500.0,1500.0,0.0,3.4346211000010953,3.4346211000010953,8.0,650613.0,100.0,0.0,0.0
chao,p5.4.z.txt,66,4,1,940.0,940.0,940.0,0.0,3.4171289000005345,3.4171289000005345,8.0,716800.0,100.0,0.0,0.0
chao,p6.2.a.txt,64,2,1,0.0,0.0,0.0,0.0,0.033464600001025246,0.033464600001025246,1.0,992.0,100.0,0.0,0.0
chao,p6.2.b.txt,64,2,1,0.0,0.0,0.0,0.0,0.023969099998794263,0.023969099998794263,1.0,992.0,100.0,0.0,0.0
chao,p6.2.c.txt,64,2,1,0.0,0.0,0.0,0.0,0.023777699996571755,0.023777699996571755,1.0,992.0,100.0,0.0,0.0
chao,p6.2.d.txt,64,2,1,192.0,192.0,192.0,0.0,0.17008160000114003,0.17008160000114003,2.0,66048.0,100.0,0.0,0.0
chao,p6.2.e.txt,64,2,1,324.0,324.0,324.0,0.0,0.3843833999999333,0.3843833999999333,2.0,116864.0,100.0,0.0,0.0
chao,p6.2.f.txt,64,2,1,384.0,384.0,384.0,0.0,0.6045182000016212,0.6045182000016212,2.0,98560.0,100.0,0.0,0.0
chao,p6.2.g.txt,64,2,1,504.0,504.0,504.0,0.0,0.7454247000023315,0.7454247000023315,2.0,157248.0,100.0,0.0,0.0
chao,p6.2.h.txt,64,2,1,612.0,612.0,612.0,0.0,0.8467736999991757,0.8467736999991757,2.0,179200.0,100.0,0.0,0.0
chao,p6.2.i.txt,64,2,1,696.0,696.0,696.0,0.0,0.9762868999969214,0.9762868999969214,2.0,179200.0,100.0,0.0,0.0
chao,p6.2.j.txt,64,2,1,696.0,696.0,696.0,0.0,1.0143377000022156,1.0143377000022156,2.0,179200.0,100.0,0.0,0.0
chao,p6.2.k.txt,64,2,1,696.0,696.0,696.0,0.0,1.0451938000005612,1.0451938000005612,2.0,179200.0,100.0,0.0,0.0
chao,p6.2.l.txt,64,2,1,696.0,696.0,696.0,0.0,1.0092193000018597,1.0092193000018597,2.0,179200.0,100.0,0.0,0.0
chao,p6.2.m.txt,64,2,1,696.0,696.0,696.0,0.0,1.0065408999980718,1.0065408999980718,2.0,179200.0,100.0,0.0,0.0
chao,p6.2.n.txt,64,2,1,696.0,696.0,696.0,0.0,1.0409868999995524,1.0409868999995524,2.0,179200.0,100.0,0.0,0.0
chao,p6.3.a.txt,64,3,1,0.0,0.0,0.0,0.0,0.03175090000149794,0.03175090000149794,1.0,992.0,100.0,0.0,0.0
chao,p6.3.b.txt,64,3,1,0.0,0.0,0.0,0.0,0.024304499998834217,0.024304499998834217,1.0,992.0,100.0,0.0,0.0
chao,p6.3.c.txt,64,3,1,0.0,0.0,0.0,0.0,0.02536340000006021,0.02536340000006021,1.0,992.0,100.0,0.0,0.0
chao,p6.3.d.txt,64,3,1,0.0,0.0,0.0,0.0,0.03327490000083344,0.03327490000083344,1.0,992.0,100.0,0.0,0.0
chao,p6.3.e.txt,64,3,1,0.0,0.0,0.0,0.0,0.030640600001788698,0.030640600001788698,1.0,992.0,100.0,0.0,0.0
chao,p6.3.f.txt,64,3,1,0.0,0.0,0.0,0.0,0.026988199999323115,0.026988199999323115,1.0,992.0,100.0,0.0,0.0
chao,p6.3.g.txt,64,3,1,270.0,270.0,270.0,0.0,0.289992699999857,0.289992699999857,4.0,91744.0,100.0,0.0,0.0
chao,p6.3.h.txt,64,3,1,348.0,348.0,348.0,0.0,0.9842265999977826,0.9842265999977826,8.0,327626.0,100.0,0.0,0.0
chao,p6.3.i.txt,64,3,1,438.0,438.0,438.0,0.0,1.3027468000000226,1.3027468000000226,8.0,416602.0,100.0,0.0,0.0
chao,p6.3.j.txt,64,3,1,462.0,462.0,462.0,0.0,0.5619507000010344,0.5619507000010344,2.0,98560.0,100.0,0.0,0.0
chao,p6.3.k.txt,64,3,1,564.0,564.0,564.0,0.0,2.1752925000000687,2.1752925000000687,8.0,523328.0,100.0,0.0,0.0
chao,p6.3.l.txt,64,3,1,678.0,678.0,678.0,0.0,2.70309129999805,2.70309129999805,8.0,620858.0,100.0,0.0,0.0
chao,p6.3.m.txt,64,3,1,726.0,726.0,726.0,0.0,2.6398083999993105,2.6398083999993105,8.0,659022.0,100.0,0.0,0.0
chao,p6.3.n.txt,64,3,1,780.0,780.0,780.0,0.0,2.8045758999978716,2.8045758999978716,8.0,688240.0,100.0,0.0,0.0
chao,p6.4.a.txt,64,4,1,0.0,0.0,0.0,0.0,0.030507799998304108,0.030507799998304108,1.0,992.0,100.0,0.0,0.0
chao,p6.4.b.txt,64,4,1,0.0,0.0,0.0,0.0,0.02366289999918081,0.02366289999918081,1.0,992.0,100.0,0.0,0.0
chao,p6.4.c.txt,64,4,1,0.0,0.0,0.0,0.0,0.022850199999083998,0.022850199999083998,1.0,992.0,100.0,0.0,0.0
chao,p6.4.d.txt,64,4,1,0.0,0.0,0.0,0.0,0.025067699996725423,0.025067699996725423,1.0,992.0,100.0,0.0,0.0
chao,p6.4.e.txt,64,4,1,0.0,0.0,0.0,0.0,0.02334040000278037,0.02334040000278037,1.0,992.0,100.0,0.0,0.0
chao,p6.4.f.txt,64,4,1,0.0,0.0,0.0,0.0,0.0236791000024823,0.0236791000024823,1.0,992.0,100.0,0.0,0.0
chao,p6.4.g.txt,64,4,1,0.0,0.0,0.0,0.0,0.025357999998959713,0.025357999998959713,1.0,992.0,100.0,0.0,0.0
chao,p6.4.h.txt,64,4,1,0.0,0.0,0.0,0.0,0.025028199997905176,0.025028199997905176,1.0,992.0,100.0,0.0,0.0
chao,p6.4.i.txt,64,4,1,0.0,0.0,0.0,0.0,0.023465000002033776,0.023465000002033776,1.0,992.0,100.0,0.0,0.0
chao,p6.4.j.txt,64,4,1,288.0,288.0,288.0,0.0,0.5506619000007049,0.5506619000007049,8.0,224704.0,100.0,0.0,0.0
chao,p6.4.k.txt,64,4,1,372.0,372.0,372.0,0.0,0.26289149999865913,0.26289149999865913,2.0,66048.0,100.0,0.0,0.0
chao,p6.4.l.txt,64,4,1,462.0,462.0,462.0,0.0,1.1656193000017083,1.1656193000017083,8.0,402876.0,100.0,0.0,0.0
